*	Measurement	data	measured	by	REW	V5.20	Beta	4												
*	Source:	Microphone	(E.A.R.S	Gain:	18dB	),	no	input	selected,	L,	volume:	no	control							
*	Format:	256k	Log	Swept	Sine,	1	sweep	at	-8	dBFS	With	no	timing	reference						
*	Dated:	Jan	28,	2019	11.32.59	AM														
*	REW	Settings:																		
*	C-weighting	compensation:	Off																	
*	Target	level:	75	dB																
*	Note:	Really	big	difference	between	R	&	L.	We	had	to	adjust	fit	several	times	to	get	a	good	measurement
*	Measurement:	Bose	QC	35	II	L														
*	Smoothing:	Jan/48	octave																	
*	Frequency	Step:	Jan/96	octave																
*	Start	Frequency:	20,1	Hz																
*																				
*	Freq(Hz)	SPL(dB)	Phase(degrees)																	
1.863,24	96,538	16,432																		
1.876,74	96,506	17,735																		
1.890,34	96,478	19,055																		
1.904,04	96,457	20,399																		
1.917,83	96,445	21,763																		
1.931,73	96,441	23,137																		
1.945,73	96,445	24,516																		
1.959,83	96,46	25,891																		
1.974,03	96,483	27,233																		
1.988,33	96,511	28,534																		
2.002,74	96,54	29,807																		
2.017,26	96,57	31,071																		
2.031,87	96,601	32,339																		
2.046,60	96,633	33,632																		
2.061,43	96,666	34,992																		
2.076,37	96,714	36,473																		
2.091,41	96,802	37,997																		
2.106,57	96,927	39,34																		
2.121,83	97,061	40,405																		
2.137,21	97,183	41,25																		
2.152,70	97,287	41,977																		
2.168,29	97,375	42,65																		
2.184,01	97,449	43,291																		
2.199,83	97,509	43,915																		
2.215,77	97,556	44,548																		
2.231,83	97,59	45,215																		
2.248,00	97,615	45,926																		
2.264,29	97,634	46,674																		
2.280,70	97,649	47,464																		
2.297,23	97,66	48,291																		
2.313,87	97,667	49,131																		
2.330,64	97,667	49,979																		
2.347,53	97,652	50,849																		
2.364,54	97,617	51,798																		
2.381,68	97,563	52,915																		
2.398,94	97,501	54,255																		
2.416,32	97,442	55,828																		
2.433,83	97,396	57,607																		
2.451,46	97,367	59,576																		
2.469,23	97,358	61,724																		
2.487,12	97,373	64,052																		
2.505,15	97,419	66,556																		
2.523,30	97,5	69,205																		
2.541,58	97,624	71,951																		
2.560,00	97,795	74,745																		
2.578,55	98,014	77,536																		
2.597,24	98,28	80,282																		
2.616,06	98,594	82,946																		
2.635,01	98,955	85,485																		
2.654,11	99,362	87,841																		
2.673,34	99,812	89,948																		
2.692,71	100,297	91,755																		
2.712,23	100,812	93,218																		
2.731,88	101,343	94,298																		
2.751,68	101,879	94,973																		
2.771,62	102,405	95,249																		
2.791,70	102,911	95,16																		
2.811,93	103,39	94,754																		
2.832,31	103,839	94,051																		
2.852,83	104,246	93,08																		
2.873,50	104,601	91,927																		
2.894,33	104,901	90,715																		
2.915,30	105,153	89,558																		
2.936,42	105,369	88,523																		
2.957,70	105,562	87,627																		
2.979,14	105,74	86,855																		
3.000,72	105,906	86,185																		
3.022,47	106,058	85,599																		
3.044,37	106,196	85,124																		
3.066,43	106,326	84,799																		
3.088,65	106,457	84,611																		
3.111,03	106,591	84,53																		
3.133,58	106,728	84,551																		
3.156,28	106,867	84,693																		
3.179,16	107,014	84,986																		
3.202,19	107,184	85,436																		
3.225,40	107,39	85,994																		
3.248,77	107,644	86,515																		
3.272,31	107,929	86,817																		
3.296,03	108,209	86,817																		
3.319,91	108,448	86,65																		
3.343,97	108,636	86,652																		
3.368,20	108,81	87,178																		
3.392,61	109,05	88,315																		
3.417,19	109,432	89,669																		
3.441,95	109,945	90,534																		
3.466,89	110,493	90,55																		
3.492,02	111,01	89,985																		
3.517,32	111,501	89,141																		
